label,ux0sommet0,uy0sommet0,ux0sommet1,uy0sommet1,ux0sommet2,uy0sommet2,ux0sommet3,uy0sommet3,ux5sommet0,uy5sommet0,ux5sommet1,uy5sommet1,ux5sommet2,uy5sommet2,ux5sommet3,uy5sommet3,ux9sommet0,uy9sommet0,ux9sommet1,uy9sommet1,ux9sommet2,uy9sommet2,ux9sommet3,uy9sommet3,ux13sommet0,uy13sommet0,ux13sommet1,uy13sommet1,ux13sommet2,uy13sommet2,ux13sommet3,uy13sommet3,ux17sommet0,uy17sommet0,ux17sommet1,uy17sommet1,ux17sommet2,uy17sommet2,ux17sommet3
1,-166.33561462163925,-32.12644428014755,-258.33561462163925,-32.12644428014755,-258.33561462163925,-124.12644428014755,-166.33561462163925,-124.12644428014755,-166.9737672843039,-32.293281733989716,-258.9737672843039,-32.293281733989716,-258.9737672843039,-124.29328173398972,-166.9737672843039,-124.29328173398972,-166.28235602378845,-32.33536511659622,-258.28235602378845,-32.33536511659622,-258.28235602378845,-124.33536511659622,-166.28235602378845,-124.33536511659622,-166.3696641921997,-32.96444283425808,-258.3696641921997,-32.96444283425808,-258.3696641921997,-124.96444283425808,-166.3696641921997,-124.96444283425808,-167.02674402669072,-32.343946635723114,-259.0267440266907,-32.343946635723114,-259.0267440266907,-124.34394663572311,-167.02674402669072,-124.34394663572311
1,-168.33564680814743,-30.17563819885254,-261.33564680814743,-30.17563819885254,-261.33564680814743,-123.17563819885254,-168.33564680814743,-123.17563819885254,-168.95540477335453,-30.32801043987274,-261.95540477335453,-30.32801043987274,-261.95540477335453,-123.32801043987274,-168.95540477335453,-123.32801043987274,-168.3467670083046,-30.32948189973831,-261.3467670083046,-30.32948189973831,-261.3467670083046,-123.32948189973831,-168.3467670083046,-123.32948189973831,-168.34570121765137,-30.94774166122079,-261.34570121765137,-30.94774166122079,-261.34570121765137,-123.94774166122079,-168.34570121765137,-123.94774166122079,-169.00382094853558,-30.35256153345108,-262.0038209485356,-30.35256153345108,-262.0038209485356,-123.35256153345108,-169.00382094853558,-123.35256153345108
1,-168.30838537216187,-30.108672738075256,-261.30838537216187,-30.108672738075256,-261.30838537216187,-123.10867273807526,-168.30838537216187,-123.10867273807526,-168.97748252749443,-30.286535143852234,-261.97748252749443,-30.286535143852234,-261.97748252749443,-123.28653514385223,-168.97748252749443,-123.28653514385223,-168.30806136131287,-30.272798717021942,-261.30806136131287,-30.272798717021942,-261.30806136131287,-123.27279871702194,-168.30806136131287,-123.27279871702194,-168.26224768161774,-31.036671798676252,-261.26224768161774,-31.036671798676252,-261.26224768161774,-124.03667179867625,-168.26224768161774,-124.03667179867625,-169.05054067447782,-30.331426322460175,-262.0505406744778,-30.331426322460175,-262.0505406744778,-123.33142632246017,-169.05054067447782,-123.33142632246017
1,-171.33515852689743,-31.0787250995636,-262.33515852689743,-31.0787250995636,-262.33515852689743,-122.0787250995636,-171.33515852689743,-122.0787250995636,-171.97201223485172,-31.29810220003128,-262.9720122348517,-31.29810220003128,-262.9720122348517,-122.29810220003128,-171.97201223485172,-122.29810220003128,-171.29343116283417,-31.297314703464508,-262.29343116283417,-31.297314703464508,-262.29343116283417,-122.29731470346451,-171.29343116283417,-122.29731470346451,-171.3444498181343,-31.973602497950196,-262.3444498181343,-31.973602497950196,-262.3444498181343,-122.9736024979502,-171.3444498181343,-122.9736024979502,-172.0186595376581,-31.348249971866608,-263.0186595376581,-31.348249971866608,-263.0186595376581,-122.34824997186661,-172.0186595376581,-122.34824997186661
1,-170.33901345729828,-31.05261790752411,-260.3390134572983,-31.05261790752411,-260.3390134572983,-121.05261790752411,-170.33901345729828,-121.05261790752411,-170.97504028119147,-31.32695984840393,-260.97504028119147,-31.32695984840393,-260.97504028119147,-121.32695984840393,-170.97504028119147,-121.32695984840393,-170.34316378831863,-31.194036543369293,-260.34316378831863,-31.194036543369293,-260.34316378831863,-121.1940365433693,-170.34316378831863,-121.1940365433693,-170.2064847946167,-31.996113190427423,-260.2064847946167,-31.996113190427423,-260.2064847946167,-121.99611319042742,-170.2064847946167,-121.99611319042742,-171.0415390767157,-31.337407171726227,-261.0415390767157,-31.337407171726227,-261.0415390767157,-121.33740717172623,-171.0415390767157,-121.33740717172623
1,-138.25721096992493,-43.052458703517914,-250.25721096992493,-43.052458703517914,-250.25721096992493,-155.0524587035179,-138.25721096992493,-155.0524587035179,-138.94521560147405,-43.264760076999664,-250.94521560147405,-43.264760076999664,-250.94521560147405,-155.26476007699966,-138.94521560147405,-155.26476007699966,-138.28930854797363,-43.235945761203766,-250.28930854797363,-43.235945761203766,-250.28930854797363,-155.23594576120377,-138.28930854797363,-155.23594576120377,-138.24305975437164,-43.900815196335316,-250.24305975437164,-43.900815196335316,-250.24305975437164,-155.90081519633532,-138.24305975437164,-155.90081519633532,-139.00260982266627,-43.31219905614853,-251.00260982266627,-43.31219905614853,-251.00260982266627,-155.31219905614853,-139.00260982266627,-155.31219905614853
1,-147.27065813541412,-47.04282742738724,-246.27065813541412,-47.04282742738724,-246.27065813541412,-146.04282742738724,-147.27065813541412,-146.04282742738724,-147.97030952200294,-47.254126489162445,-246.97030952200294,-47.254126489162445,-246.97030952200294,-146.25412648916245,-147.97030952200294,-146.25412648916245,-147.27428197860718,-47.23657983541489,-246.27428197860718,-47.23657983541489,-246.27428197860718,-146.2365798354149,-147.27428197860718,-146.2365798354149,-147.26404523849487,-47.97521677799523,-246.26404523849487,-47.97521677799523,-246.26404523849487,-146.97521677799523,-147.26404523849487,-146.97521677799523,-148.05027502775192,-47.29392331838608,-247.05027502775192,-47.29392331838608,-247.05027502775192,-146.29392331838608,-148.05027502775192,-146.29392331838608
1,-142.26315200328827,-44.06705003976822,-250.26315200328827,-44.06705003976822,-250.26315200328827,-152.06705003976822,-142.26315200328827,-152.06705003976822,-142.95169350877404,-44.25240206718445,-250.95169350877404,-44.25240206718445,-250.95169350877404,-152.25240206718445,-142.95169350877404,-152.25240206718445,-142.2475523352623,-44.30972367525101,-250.2475523352623,-44.30972367525101,-250.2475523352623,-152.309723675251,-142.2475523352623,-152.309723675251,-142.33179765939713,-44.922778353095055,-250.33179765939713,-44.922778353095055,-250.33179765939713,-152.92277835309505,-142.33179765939713,-152.92277835309505,-143.0034687856678,-44.31349968910217,-251.0034687856678,-44.31349968910217,-251.0034687856678,-152.31349968910217,-143.0034687856678,-152.31349968910217
1,-146.24571579694748,-45.05456471443176,-248.24571579694748,-45.05456471443176,-248.24571579694748,-147.05456471443176,-146.24571579694748,-147.05456471443176,-146.94184508919716,-45.24740809202194,-248.94184508919716,-45.24740809202194,-248.94184508919716,-147.24740809202194,-146.94184508919716,-147.24740809202194,-146.26766538619995,-45.22956436872482,-248.26766538619995,-45.22956436872482,-248.26766538619995,-147.22956436872482,-146.26766538619995,-147.22956436872482,-146.24623608589172,-45.92320657521486,-248.24623608589172,-45.92320657521486,-248.24623608589172,-147.92320657521486,-146.24623608589172,-147.92320657521486,-147.00658002262935,-45.27989262342453,-249.00658002262935,-45.27989262342453,-249.00658002262935,-147.27989262342453,-147.00658002262935,-147.27989262342453
1,-147.22421884536743,-45.085045337677,-247.22421884536743,-45.085045337677,-247.22421884536743,-145.085045337677,-147.22421884536743,-145.085045337677,-147.9410520233214,-45.19916194677353,-247.9410520233214,-45.19916194677353,-247.9410520233214,-145.19916194677353,-147.9410520233214,-145.19916194677353,-147.22427654266357,-45.28626048564911,-247.22427654266357,-45.28626048564911,-247.22427654266357,-145.2862604856491,-147.22427654266357,-145.2862604856491,-147.2865285873413,-45.948984477669,-247.2865285873413,-45.948984477669,-247.2865285873413,-145.948984477669,-147.2865285873413,-145.948984477669,-147.9969321365934,-45.24592560529709,-247.9969321365934,-45.24592560529709,-247.9969321365934,-145.2459256052971,-147.9969321365934,-145.2459256052971
